ID	动作名称	备注
1	打招呼	挥挥手，打声招呼
2	疑问	小小的脑袋，大大的疑问
3	哭泣	捂脸大哭
4	生气	火冒三丈，气得跺脚
5	伸懒腰	有点困，伸个懒腰
6	高兴	露出开心的样子
7	感谢	诚恳地鞠个躬
8	休闲	四周望望，放松一下
9	倒地	突然倒地
10	pose	摆出迷人的招牌动作
11	专属动作	柔柔专属动作
12	专属动作	月亮公主专属动作
13	专属动作	碧琪专属动作
14	专属动作	星光熠熠女孩专属动作
15	专属动作	云宝女孩专属动作
16	专属动作	音韵公主女孩专属动作
17	专属动作	朝露繁花专属动作
18	专属动作	冰公主专属动作
19	专属动作	罗丽专属动作
20	测试互动1	落樱与雷光的互动动作
21	测试互动2	落樱与落樱的互举动作
22	测试互动3	落樱通用的互动动作
23	莺飞长空-空侯	弹奏箜篌
24	莺飞长空-莺初	旋转飞舞
25	变装	看我华丽变身！
26	高兴2	露出开心的样子
27	展示武魂	唐三专属动作
28	展示武魂	小舞专属动作
29	展示武魂	比比东专属动作
30	释放魂技	奥斯卡专属动作
31	展示武魂	马红俊专属动作
32	展示武魂	戴沐白专属动作
33	展示武魂	朱竹清专属动作
34	展示武魂	宁荣荣专属动作
35	花瓣雨	菲丽茜亚专属动作
36	花瓣雨	菲丽茜亚专属动作
